State,District,sector,export_usd,export_inr,avg_pci,eci
GUJARAT,KHEDA,auto,2037166,172067966,0.3204356835326103,-0.3329747599610894
GUJARAT,MAHESANA,auto,83790620,7009950697,0.7837543275391011,-0.213074115872049
GUJARAT,MORBI,auto,1681146,142327439,0.2998514998038386,0.002385574338158
GUJARAT,NAVSARI,auto,445829,37473256,0.8815112964981596,0.1413141644160692
GUJARAT,PANCH MAHALS,auto,10277204,869303995,0.8049229421641151,0.268589598686799
GUJARAT,PATAN,auto,12995,1118882,1.0752229822550672,-0.6464555408634651
GUJARAT,RAJKOT,auto,177939339,15058076216,0.9549568980074149,0.0818305135568881
GUJARAT,SABAR KANTHA,auto,605101,51893459,0.8528377089762869,-0.1073837113957204
GUJARAT,SURAT,auto,1465266,123614659,0.8395010673697042,0.0876008273665225
GUJARAT,SURENDRANAGAR,auto,2622572,221670859,1.0410656284346729,0.0418536476104307
GUJARAT,VADODARA,auto,75908350,6426981176,0.888248621121355,0.4615671798054127
GUJARAT,VALSAD,auto,2274471,192618450,1.0106649358029014,0.3490068393406095
HARYANA,AMBALA,auto,319250,27071889,1.0326760931089656,0.4701520974353542
HARYANA,BHIWANI,auto,248900,21059632,1.0752229822550672,-0.1783423410577207
HARYANA,FARIDABAD,auto,401395649,33973665992,1.0056114961273528,0.3534137595031144
HARYANA,FATEHABAD,auto,4571,388027,1.0752229822550672,0.1652545604952456
HARYANA,GURUGRAM,auto,2035317666,172270069346,0.6684094291878082,0.2096866090199151
HARYANA,HISAR,auto,557957,47050872,1.040309055586598,-0.1593966608997082
HARYANA,JHAJJAR,auto,87524491,7394386009,0.9186961973147592,0.4242191081397684
HARYANA,KAITHAL,auto,73778,6185132,0.7419584729258195,-0.2589578354504159
HARYANA,KARNAL,auto,4770829,405054137,0.7146912415559652,-0.1745651861431027
HARYANA,KURUKSHETRA,auto,183043,15448403,0.6938031721070687,0.0466510703389346
HARYANA,MAHENDRAGARH,auto,2124091,180747898,1.0721953017576187,0.7573442921516785
HARYANA,NUH,auto,10278903,870145870,1.0734176976191427,-0.0191751512292772
HARYANA,PALWAL,auto,10640679,900330242,1.0400136548582906,0.5381693104408869
HARYANA,PANCHKULA,auto,1383611,117415695,0.9892516351254668,0.3614056635975701
HARYANA,PANIPAT,auto,784009,66418054,0.8783524967603497,-0.4868915555831709
HARYANA,REWARI,auto,134587410,11406211632,0.7961362603005357,0.4857668167933947
HARYANA,ROHTAK,auto,9949372,842591449,1.0409613043915826,0.33551229887189
HARYANA,SIRSA,auto,265678,22459320,0.6878091933691496,-0.4024373585630535
HARYANA,SONIPAT,auto,373722874,31597769458,1.0735726436679318,0.0149600576294903
